,000300.SH,000905.SH,399006.SZ,000906.SH,000852.SH,881001.WI
2010-05-31,-0.027028013171937572,-0.03092043532935643,0.0,-0.028050244734548244,-0.030628436189220277,-0.024722472738666252
2010-06-01,-0.01049377195968372,-0.019144257185766022,-0.02676700000000005,-0.012758785428392296,-0.021330064549957492,-0.01155501634307681
2010-06-02,0.004870339287549437,0.014364140793270528,0.02454294089904481,0.0073350136552873865,0.01676447668256007,0.0035298155182681996
2010-06-03,-0.007779071610178257,-0.007256069130887884,0.001278683888282118,-0.00764240012837264,-0.007417545761227797,-0.00602175751969518
2010-06-04,0.003039023769807583,0.00864581393369727,0.029334110581594075,0.004505368227600428,0.008399078582508115,0.003486847730778839
2010-06-07,-0.017736539727757426,-0.004027111531204709,0.04066145039170719,-0.014136020083412061,-0.003317906704257015,-0.013878297072978087
2010-06-08,0.0013432428873228958,0.009023544849343165,-0.002163692602303274,0.00338125403311436,0.014807694408336802,0.0020362153961302615
2010-06-09,0.030673098865795157,0.024958892195467108,0.009997619837436862,0.029148148122982477,0.02590048311050731,0.02849109868433065
2010-06-10,-0.011541504306228235,0.002774294905292787,0.03679175523253815,-0.007735928658060397,0.0020951773847681294,-0.007340574475643092
2010-06-11,0.003215609469448018,-0.006054362593126262,0.0042246916717823555,0.0007252625583536394,-0.004827027631976044,0.0009474883063349307
2010-06-17,-0.005847692493944907,-0.012565998768459586,-0.05111392899120399,-0.007640323033203581,-0.010659466834941143,-0.005548393045696611
2010-06-18,-0.016978320529194787,-0.04172421254917994,-0.06063076202130078,-0.023548361376828027,-0.03871068368645496,-0.023045915926397972
2010-06-21,0.03133968754149405,0.028882864929665127,0.04051377768358151,0.030699409959261875,0.024981691303203116,0.030095437280710666
2010-06-22,0.0010993780979571379,0.008002168818969906,-0.005579351307933706,0.00289495285590748,0.009131381857830417,0.0030163272338765636
2010-06-23,-0.009061615392352647,-0.006105751795873494,0.01192469528838313,-0.00829037625323985,-0.00045086905783338864,-0.00660671167091203
2010-06-24,-0.0003614289676072799,0.00017755230832651009,0.003116475403809971,-0.0002205552839055573,0.0005659211329453839,0.000958385049209871
2010-06-25,-0.007692117999723024,-0.016326540578883837,-0.03266511263552966,-0.00995127967022552,-0.01618522055945543,-0.007965276870756101
2010-06-28,-0.007130100022402535,-0.016644437179419377,-0.028000074782319508,-0.009603631682821577,-0.020922231398710033,-0.008940134661983934
2010-06-29,-0.04592132515845072,-0.05664689747163997,-0.07543628590836253,-0.04868998376306353,-0.05889776282550575,-0.045482139941203564
2010-06-30,-0.011168513811048305,-0.019405498875830825,0.006574992691411117,-0.01327720567520973,-0.021449119130342913,-0.013163276946789364
2010-07-01,-0.01443542314490055,-0.01579248697763168,-0.04038228505167974,-0.014779371436635198,-0.012622124966377801,-0.011103877594860246
2010-07-02,0.00318043317072248,-0.005827383350436222,-0.010281231934163899,0.0008992672964983762,-0.006943084021925684,0.0010900942628595616
2010-07-05,-0.008466105390266062,-0.006050352858229741,-0.012428990287703839,-0.00785819980614524,-0.008923894841157638,-0.006585462963148343
2010-07-06,0.01999919606821648,0.028466711299644537,0.036473578980085,0.022133069046045326,0.03072543453952369,0.022374019691356408
2010-07-07,0.006857460800295844,0.014549288004858487,0.016594720034731333,0.008808018795871253,0.015204863245298336,0.0075590477149862076
2010-07-08,-0.0017655650486324969,-0.005464330987865988,-0.0033459945473496354,-0.0027085996687526166,-0.005852852722307666,-0.0017422670320499877
2010-07-09,0.027633999645175454,0.029543508956175423,0.02941770871410448,0.028119345900309015,0.02992073398580051,0.024711536124609062
2010-07-12,0.010998434515606502,0.011008497732432303,-0.0021176917374620594,0.011000938808662286,0.01232723803171784,0.009815455177143738
2010-07-13,-0.015553665658029354,-0.015786123984288893,0.000975087429972746,-0.015612887205132452,-0.014116795397464124,-0.014952494546595902
2010-07-14,0.007217813149886938,0.009315734921613908,-0.009363320015465991,0.007752192691910228,0.00967606953053911,0.007198250954980592
2010-07-15,-0.016991953222950384,-0.02318251401787527,-0.03231377702030217,-0.01857089217481481,-0.025374275025273386,-0.01945019469532431
2010-07-16,0.0029169808615541535,0.005899509958116828,-0.0002901775460839079,0.0036740068214714365,0.006557323790263168,0.0017730604647313913
2010-07-19,0.025359615431660855,0.022590162642996684,0.01765217449775745,0.024654756180505877,0.02319910646725816,0.022712104647615163
2010-07-20,0.022006194286464106,0.02838004087642003,0.03190136215116153,0.023625255431401652,0.031093962893504735,0.02294471505555951
2010-07-21,0.0021273002436983943,0.002042082747247898,0.004517527430131948,0.002105553197200217,0.0015271940461637095,0.002624190533185142
