etf_code,etf_name,track_code,track_name,sw_code_keyword,sw_name,match_status,match_evidence,dominant_weight,sw_code,sw_code_holdings,source,agreement
562970.SH,光伏ETF易方达,931151.CSI,光伏产业,801730.SI,电力设备,matched,801730.SI:光伏,0.7800265786676468,801730.SI,801730.SI,holdings,True
159903.SZ,深成ETF南方,399001.SZ,深证成指,,,non-industry:broad,深证成指,,,,keyword,False
159588.SZ,石油ETF景顺,399439.SZ,国证油气,801960.SI,石油石化,matched,801960.SI:石油,0.614991725010376,801960.SI,801960.SI,holdings,True
159532.SZ,中证2000ETF易方达,932000.CSI,中证2000,,,non-industry:broad,中证2000,,,,keyword,False
515850.SH,证券ETF富国,399975.SZ,证券公司,801790.SI,非银金融,matched,801790.SI:证券公司,0.999007200914213,801790.SI,801790.SI,holdings,True
516000.SH,大数据ETF华夏,930902.CSI,中证数据,801750.SI,计算机,matched,801750.SI:大数据,0.8359479406195872,801750.SI,801750.SI,holdings,True
561600.SH,消费电子ETF平安,931494.CSI,消费电子,801080.SI,电子,matched,801080.SI:消费电子,0.9183024850584813,801080.SI,801080.SI,holdings,True
588400.SH,科创创业ETF嘉实,931643.CSI,科创创业50,,,non-industry:broad,科创创业50,,,,keyword,False
159386.SZ,A500ETF永赢,000510.SH,中证A500,,,non-industry:broad,中证A50,,,,keyword,False
562600.SH,医疗器械ETF华夏,h30217.CSI,医疗器械,801150.SI,医药生物,matched,801150.SI:医疗器械,0.9404685374953696,801150.SI,801150.SI,holdings,True
588160.SH,科创新材料ETF南方,000689.SH,科创材料,801030.SI,基础化工,matched,801030.SI:新材料,0.40337000756159797,801030.SI,801080.SI,keyword,False
562360.SH,机器人ETF银华,h30590.CSI,机器人,801890.SI,机械设备,matched,801890.SI:机器人,0.5154676420969141,801890.SI,801890.SI,holdings,True
159806.SZ,新能源车ETF国泰,399976.SZ,CS新能车,801880.SI,汽车,matched,801880.SI:新能源车,0.486225846746876,801880.SI,801730.SI,keyword,False
588950.SH,科创50ETF景顺,000688.SH,科创50,,,non-industry:broad,科创50,,,,keyword,False
516250.SH,工程机械ETF富国,931752.CSI,工程机械主题,801890.SI,机械设备,matched,801890.SI:工程机械,,801890.SI,,keyword,False
159779.SZ,消费电子ETF招商,931494.CSI,消费电子,801080.SI,电子,matched,801080.SI:消费电子,0.9167928739268727,801080.SI,801080.SI,holdings,True
515710.SH,食品饮料ETF华宝,000815.CSI,细分食品,801120.SI,食品饮料,matched,801120.SI:食品饮料,0.9574600303966107,801120.SI,801120.SI,holdings,True
159805.SZ,传媒ETF鹏华,399971.SZ,中证传媒,801760.SI,传媒,matched,801760.SI:传媒,0.890282784975468,801760.SI,801760.SI,holdings,True
159210.SZ,港股通汽车ETF汇添富,931239.CSI,港股通汽车,,,non-industry:overseas,港股,,,,keyword,False
159738.SZ,云计算ETF华泰柏瑞,931470.CSI,SHS云计算,801750.SI,计算机,matched,801750.SI:云计算,0.4511736175652057,801750.SI,801750.SI,keyword,True
588110.SH,科创成长ETF广发,000690.SH,科创成长,,,non-industry:broad,科创成长,,,,keyword,False
562350.SH,电力ETF银华,h30199.CSI,电力指数,801160.SI,公用事业,matched,801160.SI:电力,0.9537136070963915,801160.SI,801160.SI,holdings,True
510630.SH,消费ETF华夏,000036.SH,上证消费,,,non-industry:broad,上证消费,,,,keyword,False
159129.SZ,化工ETF嘉实,000813.CSI,细分化工,801030.SI,基础化工,matched,801030.SI:化工,,801030.SI,,keyword,False
159864.SZ,光伏ETF国泰,931151.CSI,光伏产业,801730.SI,电力设备,matched,801730.SI:光伏,0.7784436849835493,801730.SI,801730.SI,holdings,True
159790.SZ,碳中和ETF华夏,000977.CSI,内地低碳,,,non-industry:broad,内地低碳,,,,keyword,False
516670.SH,畜牧养殖ETF招商,930707.CSI,中证畜牧,801010.SI,农林牧渔,matched,801010.SI:畜牧,0.876602589767924,801010.SI,801010.SI,holdings,True
588010.SH,科创新材料ETF博时,000689.SH,科创材料,801030.SI,基础化工,matched,801030.SI:新材料,0.40378278216649194,801030.SI,801080.SI,keyword,False
516970.SH,基建ETF广发,399995.SZ,基建工程,801720.SI,建筑装饰,matched,801720.SI:基建,0.9392501127510827,801720.SI,801720.SI,holdings,True
560980.SH,光伏龙头ETF广发,931798.CSI,光伏龙头30,801730.SI,电力设备,matched,801730.SI:光伏,0.7239322753939951,801730.SI,801730.SI,holdings,True
563080.SH,中证A50ETF易方达,930050.CSI,中证A50,,,non-industry:broad,中证A50,,,,keyword,False
520970.SH,港股通创新药ETF嘉实,931250.CSI,港股通创新药,,,non-industry:overseas,港股,,,,keyword,False
520860.SH,港股通科技ETF富国,931573.CSI,港股通科技,,,non-industry:overseas,港股,,,,keyword,False
516290.SH,光伏ETF汇添富,931151.CSI,光伏产业,801730.SI,电力设备,matched,801730.SI:光伏,0.7820463314083879,801730.SI,801730.SI,holdings,True
588180.SH,科创50ETF国联安,000688.SH,科创50,,,non-industry:broad,科创50,,,,keyword,False
562700.SH,汽车零部件ETF华夏,931230.CSI,汽车零部件,801880.SI,汽车,matched,801880.SI:汽车零部件,0.6166006062324548,801880.SI,801880.SI,holdings,True
588850.SH,科创机械ETF嘉实,000693.SH,科创机械,801890.SI,机械设备,matched,801890.SI:机械,0.8418906532559793,801890.SI,801890.SI,holdings,True
563750.SH,中证500ETF汇添富,000905.SH,中证500,,,non-industry:broad,中证500,,,,keyword,False
561800.SH,稀有金属ETF华富,930632.CSI,CS稀金属,801050.SI,有色金属,matched,801050.SI:稀有金属,0.7830353789672132,801050.SI,801050.SI,holdings,True
159635.SZ,基建ETF华夏,930608.CSI,中证基建,801720.SI,建筑装饰,matched,801720.SI:基建,0.6646434177323766,801720.SI,801720.SI,holdings,True
588270.SH,科创200ETF易方达,000699.SH,科创200,,,non-industry:broad,科创200,,,,keyword,False
159560.SZ,芯片ETF景顺,h30007.CSI,芯片产业,801080.SI,电子,matched,801080.SI:芯片,0.9808486594859326,801080.SI,801080.SI,holdings,True
