,O/N,1W,2W,1M,3M,6M,9M,1Y,,,
2008/2/29,2.4847,2.8255,3.0927,3.5356,4.5018,4.5956,4.6398,4.6953,,,
2008/3/3,2.4325,2.8168,2.8421,3.3483,4.5016,4.5949,4.6409,4.696,,,
2008/3/4,1.9427,2.6216,2.8245,3.2489,4.5018,4.5932,4.6431,4.6966,,,
2008/3/5,1.9392,2.5884,2.8082,3.2507,4.502,4.5919,4.6443,4.6977,,,
2008/3/6,1.9307,2.5764,2.7078,3.1744,4.4994,4.5883,4.643,4.6989,,,
2008/3/7,1.9251,2.3757,2.6904,3.1091,4.5001,4.5877,4.6445,4.6998,,,
2008/3/10,1.9239,2.3203,2.6067,3.2005,4.5012,4.5885,4.6457,4.7014,,,
2008/3/11,1.9131,2.5213,2.5869,3.1854,4.503,4.5911,4.6477,4.7035,,,
2008/3/12,1.9055,2.6727,2.5698,3.156,4.5022,4.5915,4.6458,4.7054,,,
2008/3/13,1.8924,2.5808,2.6044,3.1395,4.5012,4.5924,4.6459,4.7066,,,
2008/3/14,2.2537,2.5485,2.6631,3.1649,4.5011,4.5923,4.6465,4.7079,,,
2008/3/17,2.1881,2.5233,2.6305,3.2046,4.5011,4.592,4.6464,4.7086,,,
2008/3/18,2.1643,2.4829,2.6697,3.2108,4.5003,4.5928,4.6454,4.7087,,,
2008/3/19,2.1608,2.4586,2.6038,3.2156,4.5012,4.5941,4.6461,4.7086,,,
2008/3/20,2.1344,2.4349,2.613,3.2145,4.5014,4.5947,4.6464,4.7057,,,
2008/3/21,2.2891,2.4193,2.649,3.2093,4.5016,4.5946,4.6471,4.7065,,,
2008/3/24,2.0503,2.3971,2.6195,3.2139,4.5018,4.5937,4.6483,4.7051,,,
2008/3/25,2.0387,2.3832,2.6011,3.2302,4.4998,4.5923,4.6473,4.7041,,,
2008/3/26,2.0751,2.4676,2.6773,3.2339,4.4994,4.5927,4.6468,4.7006,,,
2008/3/27,2.0737,2.3846,2.657,3.2366,4.4986,4.593,4.6481,4.6998,,,
2008/3/28,2.2597,2.3876,2.7707,3.2766,4.4986,4.5927,4.6482,4.7002,,,
2008/3/31,2.2848,2.8836,2.9232,3.2957,4.4982,4.5925,4.649,4.7014,,,
2008/4/1,2.5914,3.1008,2.9951,3.3039,4.4986,4.5923,4.6481,4.7034,,,
2008/4/2,2.3718,3.1539,3.6907,3.3183,4.4979,4.5934,4.6472,4.7038,,,
2008/4/3,2.361,2.7796,3.6332,3.3685,4.4963,4.5942,4.647,4.7032,,,
2008/4/7,2.3238,3.2093,3.521,3.5117,4.4943,4.5947,4.6479,4.7033,,,
2008/4/8,2.3385,3.4941,3.9874,3.6742,4.4957,4.5954,4.6475,4.704,,,
2008/4/9,2.3514,3.9241,4.3253,3.6677,4.4951,4.5967,4.6486,4.7046,,,
2008/4/10,2.3665,3.455,3.6993,3.7118,4.4945,4.5973,4.6475,4.7051,,,
2008/4/11,2.3438,2.8371,3.4979,3.4565,4.4956,4.5955,4.6459,4.7042,,,
2008/4/14,2.3969,3.0032,2.9851,3.3577,4.4963,4.594,4.6444,4.7022,,,
2008/4/15,2.3963,3.216,3.2483,3.3558,4.4973,4.5944,4.6452,4.7031,,,
2008/4/16,2.3949,3.3166,3.3006,3.3292,4.498,4.5953,4.6456,4.7034,,,
2008/4/17,2.3958,3.3252,3.3044,3.3047,4.4958,4.5933,4.6447,4.7029,,,
2008/4/18,2.3197,2.8635,3.2547,3.271,4.4945,4.5924,4.6454,4.7033,,,
2008/4/21,2.2421,2.8147,3.3395,3.2817,4.4918,4.5886,4.645,4.7028,,,
2008/4/22,2.1281,2.7908,3.1972,3.2896,4.4916,4.5888,4.6441,4.7025,,,
2008/4/23,2.1124,2.6984,3.1584,3.2598,4.4927,4.5876,4.6438,4.7024,,,
2008/4/24,2.0911,2.6875,2.9423,3.304,4.4913,4.5865,4.6435,4.7025,,,
2008/4/25,2.1129,2.8919,2.9352,3.3327,4.4904,4.5863,4.6435,4.7025,,,
2008/4/28,2.1279,2.8548,2.9876,3.3679,4.4895,4.5861,4.6435,4.7028,,,
2008/4/29,2.138,2.9408,3.1707,3.4133,4.4897,4.5861,4.6441,4.703,,,
2008/4/30,2.166,2.8442,3.1434,3.434,4.4904,4.5858,4.6437,4.7027,,,
2008/5/4,2.1934,2.8024,3.103,3.419,4.4906,4.5863,4.6428,4.7018,,,
2008/5/5,2.2528,2.9475,3.1543,3.412,4.4912,4.5857,4.6426,4.7023,,,
2008/5/6,2.3211,2.9511,3.28,3.4105,4.492,4.5853,4.6432,4.7024,,,
2008/5/7,2.3472,3.0324,3.3268,3.4713,4.4921,4.5857,4.6441,4.7042,,,
2008/5/8,2.356,3.0113,3.3494,3.4933,4.493,4.5859,4.6433,4.7041,,,
2008/5/9,2.362,2.9447,3.3536,3.4339,4.4933,4.5869,4.6439,4.7047,,,
2008/5/12,2.4027,3.128,3.4324,3.4259,4.4947,4.5874,4.6444,4.7055,,,
2008/5/13,2.4504,3.2881,3.5134,3.6789,4.4947,4.588,4.645,4.7056,,,
2008/5/14,2.5267,3.3722,3.561,3.6541,4.4939,4.5883,4.6462,4.7063,,,
2008/5/15,2.5295,3.4828,3.5922,3.6595,4.4941,4.5881,4.646,4.7062,,,
2008/5/16,2.57,3.9612,3.7341,3.6763,4.4938,4.5875,4.6443,4.7048,,,
2008/5/19,2.6057,3.9409,4.0657,3.7351,4.4932,4.5877,4.6453,4.7062,,,
2008/5/20,2.6246,3.951,4.0408,3.7404,4.4927,4.5876,4.6461,4.7068,,,
2008/5/21,2.6445,3.76,4.005,3.6783,4.493,4.5863,4.6465,4.708,,,
2008/5/22,2.6466,3.8651,3.6875,3.6852,4.4928,4.5876,4.6468,4.7098,,,
2008/5/23,2.6389,3.5336,3.6095,3.5212,4.4942,4.5883,4.6459,4.7111,,,
2008/5/26,2.7208,3.4797,3.4915,3.5411,4.4911,4.5889,4.6458,4.7097,,,
2008/5/27,2.8719,3.4238,3.4812,3.5788,4.4915,4.5898,4.6473,4.7112,,,
2008/5/28,2.1824,3.0743,3.4733,3.5978,4.4929,4.5891,4.6473,4.7114,,,
2008/5/29,2.4972,3.2011,3.4457,3.6019,4.4851,4.5896,4.6483,4.7103,,,
2008/5/30,2.8565,3.1339,3.3961,3.544,4.4804,4.5897,4.6469,4.7097,,,
2008/6/2,2.8555,3.1369,3.3453,3.4924,4.4844,4.59,4.6466,4.71,,,
2008/6/3,2.8542,3.1201,3.2895,3.5461,4.4846,4.5896,4.646,4.7086,,,
2008/6/4,2.8719,3.2773,3.3011,3.5858,4.4851,4.59,4.646,4.7095,,,
2008/6/5,2.8987,3.3075,3.7557,3.5279,4.4836,4.5895,4.6457,4.7086,,,
2008/6/6,2.9689,3.3309,3.7154,3.5099,4.4857,4.5897,4.6461,4.7095,,,
2008/6/10,3.4417,4.991,5.002,4.1952,4.4864,4.5904,4.6467,4.7102,,,
2008/6/11,3.5199,4.1237,4.9694,4.3414,4.4837,4.5911,4.6485,4.7132,,,
2008/6/12,3.4161,3.5518,4.1981,4.232,4.4809,4.5919,4.6495,4.7145,,,
2008/6/13,2.6442,3.356,3.9813,4.1022,4.4608,4.5923,4.6504,4.7161,,,
2008/6/16,2.3994,3.3501,3.9436,4.0774,4.465,4.5921,4.6507,4.716,,,
2008/6/17,2.4708,3.2258,3.7689,3.9919,4.4655,4.5915,4.652,4.7146,,,
2008/6/18,2.5448,3.1923,3.3214,3.9692,4.4701,4.5907,4.6505,4.714,,,
2008/6/19,2.5426,3.3777,3.78,3.9599,4.4729,4.5913,4.6516,4.7133,,,
2008/6/20,2.6635,3.2246,3.5866,3.9841,4.4751,4.5909,4.6502,4.7122,,,
2008/6/23,2.6813,3.0668,3.2924,3.7201,4.4786,4.5923,4.6506,4.7123,,,
2008/6/24,2.6883,3.1053,3.315,3.7007,4.4771,4.5912,4.6485,4.7114,,,
2008/6/25,2.6481,3.1663,3.3023,3.7278,4.4794,4.5908,4.6474,4.711,,,
2008/6/26,2.6614,3.2893,3.3967,3.7128,4.4801,4.5912,4.6471,4.711,,,
2008/6/27,2.8,3.2921,3.4067,3.7548,4.4814,4.5913,4.648,4.7115,,,
2008/6/30,2.7949,3.2936,3.3525,3.7352,4.4833,4.5913,4.6488,4.7124,,,
2008/7/1,2.5006,2.9996,3.3162,3.7256,4.4894,4.5916,4.6492,4.7126,,,
2008/7/2,2.7238,3.1575,3.3309,3.7508,4.4879,4.5925,4.6497,4.7136,,,
2008/7/3,2.5762,2.9005,3.2794,3.698,4.4867,4.5924,4.6495,4.713,,,
2008/7/4,2.5632,2.8995,3.2059,3.5999,4.4839,4.5922,4.6494,4.7126,,,
2008/7/7,2.5679,3.0316,3.0946,3.4152,4.466,4.5913,4.6501,4.7135,,,
2008/7/8,2.5501,3.196,3.2259,3.3925,4.4569,4.5909,4.6498,4.7133,,,
2008/7/9,2.5282,3.1309,3.2018,3.3295,4.4518,4.5894,4.6478,4.7117,,,
2008/7/10,2.4904,2.9269,3.0927,3.3229,4.4468,4.5893,4.6473,4.7106,,,
2008/7/11,2.3473,2.7678,3.0105,3.2768,4.4306,4.589,4.6462,4.7097,,,
2008/7/14,2.3226,3.0097,3.0246,3.3013,4.4274,4.5885,4.6459,4.7092,,,
2008/7/15,2.3763,3.0576,3.3147,3.2592,4.4237,4.5882,4.6452,4.7085,,,
2008/7/16,2.4884,2.906,3.2065,3.3351,4.4185,4.588,4.6459,4.7077,,,
2008/7/17,2.492,3.0402,3.1859,3.2694,4.417,4.5874,4.6453,4.7069,,,
2008/7/18,2.5009,3.1625,3.1861,3.2441,4.4058,4.5858,4.6446,4.7071,,,
2008/7/21,2.5052,3.0678,3.1648,3.2841,4.4027,4.5847,4.6441,4.7067,,,
2008/7/22,2.5041,3.0253,3.0802,3.3059,4.3988,4.5839,4.6442,4.7062,,,
2008/7/23,2.5007,2.9716,3.0688,3.2619,4.3867,4.5828,4.6435,4.7058,,,
2008/7/24,2.5209,3.0842,3.0725,3.2478,4.3686,4.5811,4.6437,4.7058,,,
2008/7/25,2.5192,3.0816,3.081,3.2291,4.362,4.5818,4.6434,4.7056,,,
2008/7/28,2.5167,3.161,3.2773,3.2668,4.3393,4.5796,4.6433,4.7061,,,
2008/7/29,2.5305,3.4189,3.5995,3.4269,4.3499,4.5787,4.6435,4.7065,,,
2008/7/30,2.5236,3.4256,3.9469,3.3861,4.3491,4.579,4.644,4.7063,,,
2008/7/31,2.5276,3.7695,4.0177,3.3677,4.3473,4.5787,4.6442,4.707,,,
2008/8/1,2.7765,3.7905,3.982,3.3895,4.3473,4.5762,4.6447,4.7073,,,
2008/8/4,2.7898,3.8679,3.9317,3.5291,4.3488,4.5765,4.645,4.7077,,,
2008/8/5,2.7902,3.9556,3.7894,3.6288,4.3345,4.5771,4.647,4.7077,,,
2008/8/6,2.79,3.7928,3.6447,3.4906,4.3342,4.5777,4.6467,4.7074,,,
2008/8/7,2.7863,3.2452,3.5892,3.4286,4.3217,4.5771,4.6465,4.7072,,,
2008/8/8,2.7837,3.1664,3.3881,3.3467,4.3152,4.575,4.6451,4.7066,,,
2008/8/11,2.7521,3.1493,3.348,3.3615,4.3261,4.5755,4.6449,4.7065,,,
2008/8/12,2.7284,3.1176,3.1749,3.3063,4.3228,4.5745,4.6448,4.7064,,,
2008/8/13,2.7029,3.1478,3.1386,3.2729,4.3187,4.5744,4.6441,4.7065,,,
2008/8/14,2.5299,3.2425,3.1435,3.2533,4.3268,4.5731,4.6434,4.7059,,,
2008/8/15,2.5483,2.7893,3.1234,3.2588,4.3141,4.5727,4.6434,4.7056,,,
2008/8/18,2.5867,3.2775,3.1847,3.3776,4.3153,4.5714,4.643,4.7051,,,
2008/8/19,2.5921,3.1142,3.1293,3.396,4.3242,4.5717,4.6433,4.7054,,,
2008/8/20,2.5763,3.1087,3.1021,3.2844,4.324,4.5714,4.6428,4.705,,,
2008/8/21,2.5613,3.0214,3.0948,3.2561,4.3241,4.5718,4.643,4.7052,,,
2008/8/22,2.5642,3.0949,3.0894,3.2595,4.3249,4.5708,4.643,4.7058,,,
2008/8/25,2.5667,3.0003,3.0611,3.2504,4.3178,4.5711,4.6424,4.7049,,,
2008/8/26,2.565,3.0351,3.0538,3.2325,4.3208,4.5697,4.6412,4.7045,,,
2008/8/27,2.6188,3.0317,3.046,3.2221,4.3239,4.5681,4.6412,4.7037,,,
2008/8/28,2.6347,3.2155,3.1553,3.2168,4.3223,4.5676,4.6413,4.7036,,,
2008/8/29,2.6359,3.0584,3.161,3.2167,4.3246,4.567,4.6413,4.7036,,,
2008/9/1,2.63,3.1008,3.1505,3.2426,4.3214,4.5679,4.6418,4.704,,,
2008/9/2,2.6607,3.0702,3.1263,3.2262,4.3224,4.5685,4.6418,4.7041,,,
2008/9/3,2.6633,3.043,3.1178,3.2158,4.3125,4.5683,4.6412,4.7048,,,
2008/9/4,2.6648,3.1553,3.1194,3.2127,4.3138,4.5676,4.6408,4.7038,,,
2008/9/5,2.6569,3.0098,3.0401,3.2153,4.3106,4.5658,4.641,4.7035,,,
2008/9/8,2.629,2.9246,3.0886,3.2099,4.3156,4.5662,4.6407,4.7043,,,
2008/9/9,2.6154,3.0546,3.0977,3.204,4.3145,4.5646,4.6407,4.7031,,,
2008/9/10,2.6178,3,3.091,3.2215,4.3213,4.5646,4.6402,4.703,,,
2008/9/11,2.6145,3.0104,3.0474,3.2076,4.318,4.5643,4.6401,4.7026,,,
2008/9/12,2.6175,3.0213,3.0348,3.2034,4.3216,4.5639,4.6399,4.7025,,,
2008/9/16,2.6109,2.9946,3.0208,3.2149,4.3039,4.5532,4.6239,4.6928,,,
2008/9/17,2.6196,3.0968,3.0307,3.2037,4.2935,4.547,4.6112,4.6847,,,
2008/9/18,2.6981,3.2109,3.1998,3.2842,4.29,4.5447,4.612,4.6852,,,
2008/9/19,2.985,3.3333,3.4558,3.3653,4.2964,4.5455,4.609,4.6801,,,
2008/9/22,3.041,3.4429,3.5268,3.7054,4.3012,4.5444,4.6051,4.6792,,,
2008/9/23,3.005,3.4229,3.5525,3.8342,4.3059,4.5453,4.6003,4.6772,,,
2008/9/24,3.0141,3.3263,3.5729,3.7972,4.3072,4.5437,4.5969,4.6757,,,
2008/9/25,2.8323,3.3419,3.5658,3.6968,4.3086,4.5447,4.5955,4.6748,,,
2008/9/26,2.8442,3.4247,3.4792,3.5445,4.3065,4.5425,4.5942,4.6742,,,
2008/9/27,2.8192,3.4531,3.5048,3.4513,4.3034,4.5415,4.5923,4.6726,,,
2008/9/28,3.2209,3.2467,3.3071,3.467,4.3047,4.5395,4.5905,4.672,,,
2008/10/6,3.1955,3.5519,3.5614,3.4062,4.3042,4.5397,4.5904,4.6719,,,
2008/10/7,3.1992,3.7313,3.5991,3.4013,4.3049,4.5358,4.5868,4.6686,,,
2008/10/8,2.9279,3.3576,3.4307,3.4133,4.3017,4.5323,4.5814,4.6653,,,
2008/10/9,2.7979,3.3075,3.4169,3.4074,4.2721,4.5028,4.5492,4.623,,,
2008/10/10,2.7988,3.42,3.3283,3.317,4.2661,4.4922,4.5363,4.6045,,,
2008/10/13,2.5986,3.3231,3.335,3.2679,4.2554,4.489,4.5259,4.5941,,,
2008/10/14,2.5576,3.15,3.2604,3.2766,4.2453,4.4813,4.5187,4.5874,,,
2008/10/15,2.3588,3.2242,3.1674,3.1824,4.2339,4.4746,4.509,4.5796,,,
2008/10/16,2.3929,3.2,3.1513,3.1437,4.2206,4.4664,4.5017,4.5722,,,
2008/10/17,2.2908,3.0825,3.1,3.114,4.209,4.4612,4.4973,4.5661,,,
2008/10/20,2.2938,3.0017,3.0193,3.0892,4.2077,4.4562,4.4929,4.5596,,,
2008/10/21,2.2971,2.9921,3.0133,3.0581,4.2024,4.4526,4.4897,4.5557,,,
2008/10/22,2.2921,2.9171,2.9992,3.0524,4.194,4.4515,4.4869,4.552,,,
2008/10/23,2.2958,2.9958,3.0063,3.0908,4.1842,4.4497,4.482,4.5491,,,
2008/10/24,2.2946,2.9807,3.0154,3.096,4.1768,4.4435,4.4789,4.5458,,,
2008/10/27,2.295,2.9171,3.0148,3.0867,4.1666,4.4387,4.4715,4.5387,,,
2008/10/28,2.2946,2.8953,2.9742,3.0607,4.148,4.4271,4.4664,4.5318,,,
2008/10/29,2.2963,2.9342,2.9485,3.0332,4.1335,4.4173,4.4596,4.5252,,,
2008/10/30,2.2942,2.9138,2.9373,3.021,4.0941,4.3652,4.4174,4.4759,,,
2008/10/31,2.2921,2.8018,2.9227,3.0108,4.0655,4.345,4.3911,4.4482,,,
2008/11/3,2.2938,2.8763,2.8997,3.0034,4.0359,4.3316,4.3804,4.4389,,,
2008/11/4,2.3342,2.9363,2.9029,3.0178,4.0121,4.3206,4.3718,4.4262,,,
2008/11/5,2.1942,2.8658,2.8695,3.024,3.9902,4.3063,4.3588,4.4118,,,
2008/11/6,2.2463,2.8462,2.8586,3.0176,3.9739,4.2959,4.3534,4.4045,,,
2008/11/7,2.2462,2.7877,2.8163,2.9822,3.9598,4.282,4.3432,4.395,,,
2008/11/10,2.1788,2.7898,2.8044,2.9679,3.9405,4.2735,4.3324,4.3848,,,
2008/11/11,2.1921,2.7813,2.7954,2.967,3.9081,4.2383,4.3193,4.3754,,,
2008/11/12,2.1938,2.7804,2.7913,2.9615,3.8723,4.213,4.3025,4.3645,,,
2008/11/13,2.2042,2.6842,2.7732,2.9426,3.8439,4.1775,4.286,4.3497,,,
2008/11/14,2.1658,2.7121,2.8113,2.9266,3.8101,4.1458,4.267,4.3346,,,
2008/11/17,2.1938,2.6925,2.7559,2.9178,3.7725,4.1124,4.2474,4.3143,,,
2008/11/18,2.2175,2.6252,2.7158,2.9043,3.7275,4.0656,4.219,4.2894,,,
2008/11/19,2.2175,2.6267,2.6725,2.8868,3.6873,4.0333,4.1869,4.2611,,,
2008/11/20,2.2425,2.5938,2.6276,2.8642,3.6431,3.9791,4.1452,4.225,,,
2008/11/21,2.1875,2.5067,2.5622,2.7935,3.5982,3.9433,4.1017,4.1794,,,
2008/11/24,2.1958,2.5888,2.5695,2.7725,3.5518,3.9161,4.0681,4.147,,,
2008/11/25,2.195,2.5696,2.5692,2.7929,3.5146,3.8893,4.0361,4.1178,,,
2008/11/26,2.2046,2.5353,2.5254,2.7869,3.4735,3.8511,3.9932,4.0874,,,
2008/11/27,1.5492,1.9808,2.0175,2.3108,2.813,3.0861,3.2176,3.3213,,,
2008/11/28,1.5942,2.0983,2.0583,2.2833,2.7534,3.0018,3.1506,3.257,,,
2008/12/1,1.4992,1.9767,2.0014,2.1736,2.7162,2.9602,3.0936,3.1986,,,
2008/12/2,1.4933,1.9683,1.9813,2.1364,2.6862,2.9163,3.0434,3.1575,,,
2008/12/3,1.494,1.9761,1.9834,2.1162,2.6733,2.8838,3.0089,3.1294,,,
2008/12/4,1.4936,1.9708,1.9859,2.1077,2.6516,2.8599,2.9861,3.1001,,,
2008/12/5,1.435,1.85,1.9505,2.0997,2.6233,2.82,2.947,3.0623,,,
2008/12/8,1.43,1.8408,1.9,2.135,2.589,2.7887,2.9133,3.028,,,
2008/12/9,1.4092,1.7475,1.8442,2.0417,2.556,2.7586,2.8901,3.0002,,,
2008/12/10,1.1433,1.5742,1.7967,1.9248,2.5198,2.7289,2.8608,2.978,,,
2008/12/11,1.1156,1.4579,1.5208,1.7815,2.4513,2.6942,2.8367,2.9497,,,
2008/12/12,1.1071,1.535,1.4923,1.7128,2.3861,2.6527,2.7954,2.9091,,,
2008/12/15,1.0938,1.5212,1.4535,1.6519,2.3452,2.6238,2.7673,2.8858,,,
2008/12/16,1.0321,1.5107,1.4115,1.669,2.3159,2.5893,2.7372,2.8526,,,
2008/12/17,0.9612,1.4511,1.2882,1.5083,2.2818,2.5555,2.6988,2.8189,,,
2008/12/18,0.9449,1.3975,1.2583,1.4774,2.2469,2.5306,2.6669,2.7901,,,
2008/12/19,0.9221,1.4008,1.2537,1.4579,2.2,2.4996,2.6364,2.7623,,,
2008/12/22,0.9133,1.3775,1.2442,1.3465,2.1683,2.4575,2.6102,2.741,,,
2008/12/23,0.91,1.3667,1.2408,1.3201,2.0653,2.3553,2.514,2.6424,,,
2008/12/24,0.9004,1.2051,1.2456,1.3126,1.9966,2.2715,2.438,2.5614,,,
2008/12/25,0.9046,1.2082,1.266,1.3108,1.9461,2.2131,2.3817,2.5016,,,
2008/12/26,0.8993,1.2044,1.225,1.299,1.9051,2.1833,2.3409,2.4582,,,
2008/12/29,0.8889,1.1617,1.1618,1.2724,1.8551,2.148,2.3024,2.4202,,,
2008/12/30,0.8892,1.0757,1.1301,1.2339,1.8052,2.1045,2.2543,2.3885,,,
2008/12/31,0.9471,1.0058,1.162,1.2258,1.7782,2.0803,2.2303,2.3597,,,
2009/1/4,0.9117,0.9857,1.14,1.2178,1.7446,2.0452,2.207,2.3341,,,
2009/1/5,0.9086,0.9983,1.1021,1.215,1.698,2.0174,2.1744,2.3003,,,
2009/1/6,0.8967,0.99,1.0602,1.1417,1.6516,1.989,2.1401,2.2768,,,
2009/1/7,0.8894,1.0038,1.0318,1.1256,1.6206,1.9596,2.11,2.2512,,,
2009/1/8,0.8829,0.988,1.0346,1.125,1.5899,1.9158,2.0736,2.2293,,,
2009/1/9,0.8363,0.9439,1.0163,1.1286,1.5535,1.8805,2.0427,2.2003,,,
2009/1/12,0.8333,0.9263,0.9523,1.1217,1.5241,1.8423,2.0057,2.1855,,,
2009/1/13,0.8217,0.9217,0.9495,1.1358,1.4985,1.8125,1.9803,2.1647,,,
2009/1/14,0.8204,0.9203,0.9433,1.1,1.482,1.7976,1.9648,2.1539,,,
2009/1/15,0.82,0.9004,0.936,1.11,1.4679,1.7757,1.9463,2.1339,,,
2009/1/16,0.8136,0.9121,0.9346,1.1271,1.449,1.7516,1.9286,2.1147,,,
2009/1/19,0.8142,0.9075,0.9133,1.1226,1.4328,1.7329,1.9122,2.0902,,,
2009/1/20,0.8167,0.8815,0.9124,1.095,1.4231,1.7167,1.8994,2.0699,,,
2009/1/21,0.9133,0.9371,0.9313,1.0777,1.4066,1.7042,1.8827,2.0543,,,
2009/1/22,0.8942,1.0254,1.0503,1.1042,1.3997,1.6951,1.8669,2.0367,,,
2009/1/23,0.8775,1.0267,1.0417,1.1144,1.3852,1.6774,1.8513,2.0252,,,
2009/1/24,0.9283,0.9833,1.025,1.107,1.3809,1.6702,1.8424,2.019,,,
2009/2/1,0.925,0.9258,0.9342,1.095,1.3656,1.6596,1.8331,2.0057,,,
2009/2/2,0.8063,0.9083,0.905,1.08,1.3472,1.6471,1.8181,1.9967,,,
2009/2/3,0.8264,0.9314,0.9264,1.0888,1.3438,1.6378,1.8052,1.9875,,,
2009/2/4,0.8156,0.9404,0.9404,1.0775,1.3399,1.6294,1.7977,1.9807,,,
2009/2/5,0.8263,0.9399,0.9473,1.0708,1.3331,1.623,1.7912,1.977,,,
2009/2/6,0.8242,0.9358,0.9413,1.065,1.3278,1.6117,1.7785,1.9695,,,
2009/2/9,0.8328,0.9375,0.9377,1.0564,1.3239,1.6051,1.7689,1.9603,,,
2009/2/10,0.8321,0.9395,0.9458,1.0538,1.315,1.6022,1.7612,1.9541,,,
2009/2/11,0.8388,0.9348,0.9521,1.0548,1.3087,1.5986,1.7519,1.9498,,,
2009/2/12,0.8292,0.9325,0.9483,1.0654,1.3038,1.594,1.7467,1.9472,,,
2009/2/13,0.8346,0.9575,0.9517,1.0679,1.2995,1.5885,1.7403,1.9454,,,
2009/2/16,0.8204,0.9525,0.9469,1.0693,1.2948,1.5837,1.7365,1.9437,,,
2009/2/17,0.8196,0.9533,0.9513,1.0583,1.2916,1.5789,1.7335,1.9432,,,
2009/2/18,0.8163,0.9538,0.9625,1.0592,1.2867,1.5749,1.7262,1.9407,,,
2009/2/19,0.8238,0.95,0.9721,1.0567,1.2845,1.5728,1.7232,1.9399,,,
2009/2/20,0.8213,0.9742,0.9696,1.0525,1.2829,1.5708,1.7214,1.938,,,
2009/2/23,0.8238,0.9938,0.9678,1.0493,1.2846,1.5678,1.7184,1.9369,,,
2009/2/24,0.815,0.9558,0.9848,1.0442,1.2807,1.5624,1.7145,1.935,,,
2009/2/25,0.8113,0.9483,0.985,1.0418,1.2793,1.5591,1.7133,1.9316,,,
2009/2/26,0.8067,0.9404,0.9638,1.0358,1.2779,1.5536,1.7089,1.9301,,,
2009/2/27,0.8067,0.9488,0.9596,1.035,1.2748,1.5487,1.7063,1.9275,,,
2009/3/2,0.8046,0.9471,0.9513,1.0386,1.2716,1.544,1.7043,1.9248,,,
2009/3/3,0.8025,0.9475,0.9556,1.0302,1.2716,1.5416,1.7021,1.923,,,
2009/3/4,0.8008,0.9433,0.9521,1.0341,1.2714,1.5443,1.7001,1.9223,,,
2009/3/5,0.8025,0.9421,0.9485,1.031,1.2688,1.5394,1.6998,1.9195,,,
2009/3/6,0.8008,0.9275,0.9404,1.035,1.2659,1.5346,1.6971,1.9182,,,
2009/3/9,0.8067,0.9617,0.9535,1.0375,1.2652,1.5332,1.6951,1.9141,,,
2009/3/10,0.8033,0.945,0.9513,1.0314,1.2613,1.5311,1.6933,1.9119,,,
2009/3/11,0.8042,0.9475,0.9488,1.0313,1.2563,1.5296,1.6916,1.9111,,,
2009/3/12,0.8033,0.9383,0.9446,1.0293,1.2538,1.5276,1.6897,1.9101,,,
2009/3/13,0.8029,0.9392,0.9463,1.0254,1.2522,1.525,1.6873,1.9088,,,
2009/3/16,0.8046,0.9592,0.9417,1.0296,1.2488,1.5218,1.6837,1.9037,,,
2009/3/17,0.8046,0.9446,0.9425,1.0292,1.2469,1.5188,1.6803,1.9005,,,
2009/3/18,0.8042,0.9188,0.9408,1.0271,1.2445,1.5125,1.6787,1.8979,,,
2009/3/19,0.8063,0.9588,0.9446,1.0304,1.2443,1.5109,1.6757,1.8951,,,
2009/3/20,0.8046,0.9667,0.9513,1.0313,1.2415,1.508,1.6712,1.8935,,,
2009/3/23,0.8058,0.9633,0.9508,1.0319,1.2391,1.5038,1.6687,1.8897,,,
2009/3/24,0.8033,0.9383,0.9454,1.0315,1.2364,1.5006,1.6648,1.8866,,,
2009/3/25,0.8025,0.9329,0.9396,1.029,1.2341,1.5006,1.6616,1.8835,,,
2009/3/26,0.8029,0.9292,0.9393,1.0296,1.2318,1.4993,1.6601,1.8809,,,
2009/3/27,0.8021,0.9528,0.94,1.0275,1.2293,1.4961,1.6585,1.8796,,,
2009/3/30,0.8038,0.9433,0.9388,1.0263,1.2275,1.4944,1.6575,1.8779,,,
2009/3/31,0.8025,0.9354,0.9363,1.0285,1.2241,1.4923,1.6542,1.8754,,,
2009/4/1,0.8025,0.9425,0.9538,1.025,1.2232,1.4923,1.6513,1.8739,,,
2009/4/2,0.8033,0.9408,0.9439,1.0283,1.2228,1.4918,1.6506,1.8734,,,
2009/4/3,0.8021,0.9408,0.9475,1.0279,1.2214,1.4914,1.6491,1.8719,,,
2009/4/7,0.8021,0.9475,0.9483,1.0215,1.2191,1.4898,1.6468,1.8689,,,
2009/4/8,0.8021,0.9438,0.9442,1.0201,1.2177,1.4875,1.6447,1.8664,,,
2009/4/9,0.8025,0.94,0.9433,1.0249,1.2153,1.4854,1.6438,1.8633,,,
2009/4/10,0.8021,0.9371,0.9425,1.0242,1.2144,1.4844,1.6419,1.8604,,,
2009/4/13,0.8025,0.9229,0.9421,1.0263,1.2133,1.4826,1.6415,1.8588,,,
2009/4/14,0.8008,0.9163,0.9392,1.023,1.2129,1.4804,1.6403,1.8572,,,
2009/4/15,0.8013,0.9175,0.9358,1.0191,1.2121,1.4789,1.6392,1.855,,,
2009/4/16,0.8008,0.9208,0.9359,1.0186,1.2113,1.4779,1.6378,1.8543,,,
