,code,day,direction,rank,abnormal_code,abnormal_name,sales_depart_name,buy_value,sell_value,total_value,net_value,amount
98637,002145.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,申银万国证券股份有限公司上海陆家嘴环路证券营业部,11623651,356494,11980145,11267157,418279769
98645,002145.SZ,2013/1/4,BUY,2,106004,换手率达20%的证券,申银万国证券股份有限公司上海陆家嘴环路证券营业部,11623651,356494,11980145,11267157,418279769
98530,002700.SZ,2013/1/4,SELL,2,106004,换手率达20%的证券,申银万国证券股份有限公司上海上中西路证券营业部,21569,3219533,3241102,-3197964,215270955
98596,002460.SZ,2013/1/4,SELL,5,106001,涨幅偏离值达7%的证券,世纪证券有限责任公司九江庐山区长虹大道证券营业部,0,1913159,1913159,-1913159,83172986
98364,600722.SH,2013/1/4,BUY,2,106099,其它异常波动的证券,世纪证券有限责任公司深圳深南大道中证券营业部,9902361,,,,62574696
98732,000156.SZ,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,首创证券有限责任公司北京五道口证券营业部,2535240,0,2535240,2535240,216336298
98724,000156.SZ,2013/1/4,BUY,5,106004,换手率达20%的证券,首创证券有限责任公司北京五道口证券营业部,2535240,0,2535240,2535240,216336298
98656,000898.SZ,2013/1/4,SELL,4,106001,涨幅偏离值达7%的证券,首创证券有限责任公司上海共和新路证券营业部,4270000,6872568,11142568,-2602568,389722923
98671,000862.SZ,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,首创证券有限责任公司上海水城路证券营业部,3150,901600,904750,-898450,40008521
98389,600535.SH,2013/1/4,BUY,3,106002,跌幅偏离值达7%的证券,天源证券有限公司盘锦泰山路证券营业部,13192339.6,,,,432135520
98468,300262.SZ,2013/1/4,BUY,3,106004,换手率达20%的证券,万联证券有限责任公司广州滨江东路证券营业部,5342485,2194,5344679,5340291,287597870
98340,600882.SH,2013/1/4,BUY,5,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,五矿证券有限公司杭州中山北路证券营业部,7956623,,,,401157920
98674,000862.SZ,2013/1/4,BUY,1,106001,涨幅偏离值达7%的证券,五矿证券有限公司深圳金田路证券营业部,6438712,5044,6443756,6433668,40008521
98573,002492.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,五矿证券有限公司深圳金田路证券营业部,10925235,0,10925235,10925235,145970121
98638,002145.SZ,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,五矿证券有限公司深圳金田路证券营业部,43810,9440508,9484318,-9396698,418279769
98644,002145.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,五矿证券有限公司深圳金田路证券营业部,43810,9440508,9484318,-9396698,418279769
98473,300262.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,西藏同信证券有限责任公司上海东方路证券营业部,143968,8332805,8476773,-8188837,287597870
98597,002460.SZ,2013/1/4,BUY,4,106001,涨幅偏离值达7%的证券,西藏同信证券有限责任公司上海东方路证券营业部,4010112,0,4010112,4010112,83172986
98438,300298.SZ,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,西南证券股份有限公司重庆万州高笋塘证券营业部,4506745,0,4506745,4506745,224733618
98380,600535.SH,2013/1/4,SELL,2,106002,跌幅偏离值达7%的证券,湘财证券有限责任公司北京首体南路证券营业部,,44418713.5,,,432135520
98683,000799.SZ,2013/1/4,SELL,4,106004,换手率达20%的证券,湘财证券有限责任公司北京首体南路证券营业部,211525,47298199,47509724,-47086674,1794010551
98393,600532.SH,2013/1/4,BUY,4,106001,涨幅偏离值达7%的证券,湘财证券有限责任公司上海金沙江路证券营业部,3173057,,,,92539704
98590,002460.SZ,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,新时代证券有限责任公司深圳深南东路证券营业部,0,2585965,2585965,-2585965,83172986
