,trade_date,ts_code,exalter, buy , sell ,net_buy,side,reason
47,20130104,000677.SZ,民生证券股份有限公司郑州郑汴路证券营业部," 123,600.00 ", -   ,-123600,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
334,20130104,600532.SH,南京证券股份有限公司南京龙蟠路证券营业部," 2,316,100.00 ",,-2316100,1,涨幅偏离值达7%的证券
205,20130104,002694.SZ,南京证券股份有限公司南京热河路证券营业部," 3,515,565.00 "," 47,808.00 ",-3467757,1,换手率达20%的证券
204,20130104,002694.SZ,南京证券股份有限公司南京中山南路证券营业部," 3,310,230.40 "," 596,173.00 ",-2714057.4,1,换手率达20%的证券
74,20130104,000862.SZ,南京证券股份有限公司镇江中山东路证券营业部," 1,827,723.00 ", -   ,-1827723,1,涨幅偏离值达7%的证券
73,20130104,000862.SZ,南京证券股份有限公司中卫证券营业部," 697,775.38 ", -   ,-697775.38,1,涨幅偏离值达7%的证券
18,20130104,000156.SZ,平安证券有限责任公司杭州潮王路证券营业部," 3,274,286.00 "," 838,931.00 ",-2435355,1,换手率达20%的证券
19,20130104,000156.SZ,平安证券有限责任公司杭州潮王路证券营业部," 3,274,286.00 "," 838,931.00 ",-2435355,1,涨幅偏离值达7%的证券
46,20130104,000677.SZ,平安证券有限责任公司上海零陵路证券营业部, -   ," 9,840,000.00 ",9840000,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
376,20130104,600784.SH,齐鲁证券有限公司济南历山路证券营业部," 1,181,040.00 ",,-1181040,1,涨幅偏离值达7%的证券
239,20130104,300103.SZ,齐鲁证券有限公司青岛正阳路证券营业部," 18,455.00 "," 3,980,891.13 ",3962436.13,0,换手率达20%的证券
159,20130104,002460.SZ,齐鲁证券有限公司厦门厦禾路证券营业部," 1,967,975.24 ", -   ,-1967975.24,1,涨幅偏离值达7%的证券
79,20130104,000862.SZ,齐鲁证券有限公司上海西安路证券营业部," 692,172.80 ", -   ,-692172.8,1,涨幅偏离值达7%的证券
368,20130104,600722.SH,齐鲁证券有限公司深圳红荔路银荔大厦证券营业部,," 6,606,918.46 ",6606918.46,0,ST股票、*ST股票和S股连续三个交易日触及涨幅限制的股票
369,20130104,600722.SH,齐鲁证券有限公司深圳红荔路银荔大厦证券营业部," 6,847,999.27 ",,-6847999.27,1,ST股票、*ST股票和S股连续三个交易日触及涨幅限制的股票
339,20130104,600532.SH,齐鲁证券有限公司石家庄中华南大街证券营业部," 2,712,275.00 ",,-2712275,1,涨幅偏离值达7%的证券
